highest_occupied lowest_unoccupied Egap
ZnO-PBEU-7.50_5.50.out 7.9435 10.6844 2.7409
ZnO-PBEU-7.50_6.00.out 7.8697 10.7494 2.8797
ZnO-PBEU-7.50_6.50.out 7.7952 10.8128 3.0176
ZnO-PBEU-7.50_7.00.out 7.7203 10.8746 3.1543
ZnO-PBEU-7.50_7.50.out 7.6452 10.9350 3.2898
ZnO-PBEU-7.50_8.00.out 7.5700 10.9939 3.4239
ZnO-PBEU-7.50_8.50.out 7.4948 11.0516 3.5568
ZnO-PBEU-7.50_9.00.out 7.4197 11.1079 3.6882
ZnO-PBEU-7.50_9.50.out 7.3449 11.1630 3.8181
ZnO-PBEU-8.00_10.00.out 7.2210 11.2111 3.9901
ZnO-PBEU-8.00_10.50.out 7.1448 11.2638 4.119
ZnO-PBEU-8.00_11.00.out 7.0691 11.3153 4.2462
ZnO-PBEU-8.00_11.50.out 6.9941 11.3657 4.3716
ZnO-PBEU-8.00_12.00.out 6.9197 11.4151 4.4954
ZnO-PBEU-8.00_4.00.out 8.1327 10.4742 2.3415
ZnO-PBEU-8.00_4.50.out 8.0598 10.5442 2.4844
ZnO-PBEU-8.00_5.00.out 7.9859 10.6124 2.6265
ZnO-PBEU-8.00_5.50.out 7.9110 10.6789 2.7679
ZnO-PBEU-8.00_6.00.out 7.8355 10.7439 2.9084
ZnO-PBEU-8.00_6.50.out 7.7594 10.8072 3.0478
ZnO-PBEU-8.00_7.00.out 7.6828 10.8691 3.1863
ZnO-PBEU-8.00_7.50.out 7.6058 10.9294 3.3236
ZnO-PBEU-8.00_8.00.out 7.5288 10.9884 3.4596
ZnO-PBEU-8.00_8.50.out 7.4516 11.0460 3.5944
ZnO-PBEU-8.00_9.00.out 7.3745 11.1023 3.7278
ZnO-PBEU-8.00_9.50.out 7.2976 11.1574 3.8598
ZnO-PBEU-8.50_10.00.out 7.1740 11.2057 4.0317
ZnO-PBEU-8.50_10.50.out 7.0957 11.2583 4.1626
ZnO-PBEU-8.50_11.00.out 7.0178 11.3098 4.292
ZnO-PBEU-8.50_11.50.out 6.9404 11.3602 4.4198
ZnO-PBEU-8.50_12.00.out 6.8638 11.4096 4.5458
ZnO-PBEU-8.50_4.00.out 8.1059 10.4688 2.3629
ZnO-PBEU-8.50_4.50.out 8.0317 10.5388 2.5071
ZnO-PBEU-8.50_5.00.out 7.9563 10.6070 2.6507
ZnO-PBEU-8.50_5.50.out 7.8800 10.6735 2.7935
ZnO-PBEU-8.50_6.00.out 7.8030 10.7385 2.9355
ZnO-PBEU-8.50_6.50.out 7.7254 10.8018 3.0764
ZnO-PBEU-8.50_7.00.out 7.6471 10.8636 3.2165
ZnO-PBEU-8.50_7.50.out 7.5685 10.9240 3.3555
ZnO-PBEU-8.50_8.00.out 7.4896 10.9830 3.4934
ZnO-PBEU-8.50_8.50.out 7.4106 11.0406 3.63
ZnO-PBEU-8.50_9.00.out 7.3316 11.0969 3.7653
ZnO-PBEU-8.50_9.50.out 7.2527 11.1519 3.8992
ZnO-PBEU-9.00_10.00.out 7.1294 11.2004 4.071
ZnO-PBEU-9.00_10.50.out 7.0490 11.2530 4.204
ZnO-PBEU-9.00_11.00.out 6.9690 11.3044 4.3354
ZnO-PBEU-9.00_11.50.out 6.8895 11.3548 4.4653
ZnO-PBEU-9.00_12.00.out 6.8105 11.4042 4.5937
ZnO-PBEU-9.00_4.00.out 8.0803 10.4636 2.3833
ZnO-PBEU-9.00_4.50.out 8.0049 10.5335 2.5286
ZnO-PBEU-9.00_5.00.out 7.9282 10.6017 2.6735
ZnO-PBEU-9.00_5.50.out 7.8506 10.6682 2.8176
ZnO-PBEU-9.00_6.00.out 7.7721 10.7332 2.9611
ZnO-PBEU-9.00_6.50.out 7.6930 10.7965 3.1035
ZnO-PBEU-9.00_7.00.out 7.6132 10.8583 3.2451
ZnO-PBEU-9.00_7.50.out 7.5329 10.9187 3.3858
ZnO-PBEU-9.00_8.00.out 7.4524 10.9777 3.5253
ZnO-PBEU-9.00_8.50.out 7.3716 11.0352 3.6636
ZnO-PBEU-9.00_9.00.out 7.2908 11.0915 3.8007
ZnO-PBEU-9.00_9.50.out 7.2100 11.1466 3.9366
ZnO-PBEU-9.50_10.00.out 7.0869 11.1952 4.1083
ZnO-PBEU-9.50_10.50.out 7.0045 11.2477 4.2432
ZnO-PBEU-9.50_11.00.out 6.9225 11.2992 4.3767
ZnO-PBEU-9.50_11.50.out 6.8409 11.3496 4.5087
ZnO-PBEU-9.50_12.00.out 6.7599 11.3989 4.639
ZnO-PBEU-9.50_4.00.out 8.0559 10.4584 2.4025
ZnO-PBEU-9.50_4.50.out 7.9793 10.5284 2.5491
ZnO-PBEU-9.50_5.00.out 7.9014 10.5966 2.6952
ZnO-PBEU-9.50_5.50.out 7.8225 10.6630 2.8405
ZnO-PBEU-9.50_6.00.out 7.7427 10.7280 2.9853
ZnO-PBEU-9.50_6.50.out 7.6622 10.7913 3.1291
ZnO-PBEU-9.50_7.00.out 7.5809 10.8531 3.2722
ZnO-PBEU-9.50_7.50.out 7.4991 10.9135 3.4144
ZnO-PBEU-9.50_8.00.out 7.4170 10.9724 3.5554
ZnO-PBEU-9.50_8.50.out 7.3345 11.0300 3.6955
ZnO-PBEU-9.50_9.00.out 7.2520 11.0863 3.8343
ZnO-PBEU-9.50_9.50.out 7.1694 11.1414 3.972
